Tweet,Target 1,Stance 1,seen?
"I live and work near Muir Woods. There isn't a day without smog hovering over the area. The neighborhood does not suffer density issues and there are no manufacturing facilities anywhere near the whole region. Yet, the smog in all its reddish-purple-haziness never flags. It comes out of the west from China. Over one billion people manufacture the good that seven billion of us need and it is killing us with polluted air, water and as an unsafe food source. All of this damage is done in the name of a single word: profit. It's time that we redefine that word or we will certainly die out as a specie.",smog,AGAINST,1
"""MT [Mother Teresa] was not a friend of the poor. She was a friend of poverty. She said that suffering was a gift from God. She spent her life opposing the only known cure for poverty, which is the empowerment of women and the emancipation of them from a livestock version of compulsory reproduction."" - Christopher Hitchens",mother teresa,AGAINST,1
"Just out of curiosity, are there any moves which either Israel of the US can take which won't result in Arab violence? In 2000, Israel made a peace proposal to the Palestinians, the Palestinians responded with...violence. In 2005, Israel withdrew from Gaza, the Palestinians responded with...violence. The author is correct, if the US moves its embassy to Jerusalem, a move which I don't see as either solving anything or wise at this time, it will result in Palestinian violence. You will have to excuse me if I think he needs a better argument against the idea since violence seems to be the Palestinians' default reaction to everything. This may explain why the Israelis don't want to put their cities in firing range by giving up the west bank in return for empty promises by either the UN, the US or the Palestinians.",u.s. embassy,AGAINST,1
"I'm all for broad education. I'm a product of it. As a teacher and professor I spent my professional life in it,. And in my college planning practice, I've guided most of my students towards it. But Mr. Hamed is exactly right when he says, ""If our goal is to lift students from poverty to high-paying programming jobs, this school's curriculum is admirable."" It may or may not produce the next Steve Jobs - we can argue about how geniuses arise some other time - but good vocational education lifts students who otherwise might flounder and founder into jobs that provide them with pride, stability and a good living. I wish more schools did as much.",high school,FAVOR,1
"Zimbalist tortuously describes distinctions without differences to arrive at his unwarranted conclusion. If we are taxing corporations, none should be tax-exempt. Period! The tax code is to raise revenue, not to institute social policies. Those, if deemed desirable, should be done through appropriations, where our representatives will have to justify their choices with each budget. Unfortunately, the tax code is much like military bases, pork spread so widely that no one wants to rock the boat, even if the totality is detrimental to the welfare of our country.",tax code,AGAINST,1
"#28 Areg: ""Most people don't seem to realize that Amy Chua's 'Chinese parenting' style is nothing new. It's the same Western parenting style from mid-19th century.... It took us 150 years to move away from all that, just in order to 'rediscover' it again in her essay"" That old Western parenting style that you and others now deride brought us the Industrial Revolution and earlier the Enlightenment. If the Chinese follow that parenting style I'm certain the next Big Thing (postmodernism doesn't count as an achievement) will be Chinese.",extreme parenting,FAVOR,1
"How silly. Adams ignores the reality that corporations are not actually real people; they are entities with a sole and simple goal: to make a profit. Real people at or near the top who attempt to bring honesty, fair play, or anything else other than profit will be passed up by real people with only one goal: to get to the top, by whatever means will bring the best profit for the next quarter. Without regulation from outside the entity, it's really a matter of time before disaster strikes. At which point real people get hurt, but often not including those who caused it nor the corporation itself.",company,AGAINST,1
"So this thesis is ""Once a felon, always a felon?"" The stated purpose of incarceration correction. In California it is the CDC or California Department of Corrections, not the prison department. A convict is released, put on parole, satisfies the requirements, and is expected to become a normal member of society. But at the same time loses certain right that other citizens have. He/she is in effect no longer a whole citizen, even after having paid satisfied the conditions imposed by the court. So even though his behavior has been corrected he/she is treated as uncorrected. Worse yet, in many cases they can not get certain work, are relegated to the lower levels of society, yet expected to be productive. So what is the purpose of conviction and incarceration? Some may be career criminals, but as we have seen fr to many times, most are not, but in many cases return to crime as that is what they know best. What we see here is a call for permanent retribution, no matter the crime.",felon,FAVOR,1
"On an IQ test, the average person would have exactly the same score as the average person in his grandparents' time. That is 100! The author is referring to the raw unadjusted score. All IQ tests are set so that the mean, median, and mode equal 100! Unless the author has access to old IQ test raw scores, the assumption of increasing average IQ scores would be difficult to demonstrate.",people,FAVOR,1
"Israel is such a dishonest broker that this debate is unnecessary. Never mind the crimes against innocent people, never mind the broken promises; how about the atomic bomb they have hidden in plain site. I would agree to disarm Iran if we did the same with Israel. Unfortunately the Jewish lobby in this country spends copious amounts of money to gain political advantage for this rogue country. If they attack Iran, they should reap the whirlwind.",israel,FAVOR,1
"it hilarious that the states scream for Casino's yet fear legalizing marijuana. Gambling destroys more families than marijuana ever did. Casino's prey far more on those who can least afford to gamble than it does in attracting the extremely wealthy to gamble away what they have in the same percentage terms. Know why ? Rich are rich for a reason, they did not gamble away their chance at success, wasting their money on a dream of striking it rich. Casino's pay terribly low wages for service persons. Casino's in the end cost society more than they can ever generate to the states or federal gov't. Casino's should as they always were be a destination resort to insure those that do gamble can at least afford it. I never saw a poor person at Atlantis in the Bahamas, or Aruba, I cannot say the same for Foxwoods, Atlantic City, or even Las Vegas. At one time Las Vegas was a destination resort, now it too exploits the poor more than taking from tourists I don't gamble, but I do enjoy watching people play, I don't enjoy watching them lose.",gamble,AGAINST,1
"Of course, immigrants take jobs away from younger less educated american citizens. Immigrants work for lower wages, and rely on government assistance to pay their bills. A majority of immigrant families rely on gov assistance. 75& go hispanic immigrant families receive gov assistance. the immigrant families can't make ends meet without gov assistance. Their wages are just their secondary source of income. The young american citizens can't live on the lower wages, so they stop applying for the low wage jobs. Heres an example, sheet rock work in home construction, which used to be done by black contractors and laborers, is now done exclusively by spanish speakers in my town. Those jobs paid well in the past, but real wages have dropped, lately",threat,FAVOR,1
"Sorry to brake the news but the US looks nowadays like an inflated old, very yucky USSR. Killing and maiming across the world and the seven seas, arming Israel to the teeth and disregarding the most basic human rights anywhere in the world, even in the US where people (mostly men) get shot left and right every day.",israel,AGAINST,1
"My high school librarian was wonderful. She was at my 50th high school reunion two years ago, no longer able to see, alas, but still the lively, alert, aware person she was years ago. It seems to me that this isn't a question of ebooks replacing paper books as one commenter seems to imply. Nor is it a question of whether or not ""internet access"" is the same thing, as another comment states. Reading an ebook is a skill, and a different skill from reading a paper book. Using the internet efficiently and critically is also a learned skill. Google and Wikipedia are not the beginning and end. These skills need teaching--skilled teaching. Librarians have the skills to do this, and they have the heart and mission to do this, and they have the love of patrons of the library to do this. So let's not suggest that a visit ""once a month or so"" is the equivalent of a human being available down the hall daily.",school librarian,FAVOR,1
"Genes belong to the human race and other species. They should never be patented, owned or controlled by companies or governments or individuals. They belong in the public domain. They belong to everyone. They should never be used for profitable purposes. Margaret Nwton, MD",company,AGAINST,1
"Henri Poincaire, the famous French scientist and mathematician, said, 'Science progresses, funeral by funeral'. evidently, so does common sense, (unless it regresses, election by election) and, as the election debates demonstrate, self-interest trumps rationality when the two are in conflict. Enlightenment is the turning away from self-interest to the larger self, that is, social consciousness and class war is not so much between the haves and have-nots in the financial sense as between the developed and the undeveloped in social consciousness. Such development is typically resisted as the growth of self necessarily invokes a sense of responsibility larger than the self; that is, altruism is seen as a perilous loss of self. Thus, in growth, the self appears exposed, vulnerable and at risk. But as healthcare joins medicare, food stamps, un-employment compensation, social security, the FDIC and soon to be measures to end consumer ripoffs and every sort of unethical capitalism, those who have opposed these measures will be seen to be lacking in common sense. For this reason, Henri and I expect to see the members of the Geriatric Old Party toddle off to oblivion with no one to replace them",people,FAVOR,1
"I disagree, the answer is no. Investors are gamblers. Everyone loves the winning gambler but nobody loves the habitual gambler that is on a losing streak. And contrary to common belief, making more money gambling does not equate to making more jobs available in any country with the only exceptions being those places that do not insure safe working conditions nor living wages to their employees. When a huge bank falters it immediately shakes the economy world wide as all the investors world wide begin to lose their gambling balls. When a huge bank falls every bank is affected and more banks will begin to fail as a result. The end is finally a repressed economy that the diminishing middle and lower classes must rescue in order to prevent a depression. And I am not even going to mention the power that large banks have over the election of politicians who have sold their souls to big business that ships jobs overseas or produces items that cause injury to entire societies or the environmentally questionable activities that abound simply to make a fast buck.",big bank,AGAINST,1
"If we're lucky cannabis use will decrease the use of alcohol. Cannabis isn't a gateway, it's a flagstone on a well worn path. Gateway? Sugar and caffeine are the first substances that one comes I contact with with mood altering properties, followed by alcohol. How many cannabis users have never tried alcohol or coffee or sugary caffeinated soda? The detractors of cannabis always seem to have a financial interest in vilifying it.",gateway drug,AGAINST,1
"Even with evidence of poison gas having been used, how do we know which side was responsible? And, yes President Bashar al-Assad is bad -- but we have no reason to know (if we aid his opponents) who they are and what they will do. They could be worse. So, without more information... DO NOTHING.",us,FAVOR,1
"As soon as there is a critical level of EV adoption third parties will spring up to supply a (new!) market for portable EV chargers. I am surprised that Nissan doesn't offer this as an option -- but what the heck, the market will provide. Look at what happened with iPod/iPhone accessories.",electric car,AGAINST,1
"There is also an another equity argument. Capital gains on asset held in retirement accounts are treated as regular income when taken out. Since middle income people will mostly have this form of capital gains they are being unfairly taxed since they do no receive preferential treatment, except for the deferral of those taxes until those gains are received.",capital gain,FAVOR,1
"Syrians are educated, kind, humble and beautiful people. It is the height of hypocrisy for the US to relentlessly bomb Syria and then slam the door in the face of war-weary Syrian refugees, all while boasting about being an opportunistic, strong and exceptional nation. Americans are yet again showing the world that they are hypocritical, selfish and merciless cowards. I'm surprised our allies haven't slammed the door in our faces yet. I sure would.",american war syria,AGAINST,1
"Boys drop out of school at a much higher rate than girls. Boys and young men are 7 times more likely than girls and young women to commit suicide. Young men receive only 42% of college degrees, and the gap is increasing. Boys in school are much more likely to be forced to take Ritalin than girls, simply for acting like normally active boys. As we drop Phys Ed and recess, these numbers will increase. There are many all-women colleges, almost no all-men's colleges are left, because they've been forced to accept women. Why not the reverse?",same sex college,FAVOR,1
"""Most of the benefits of the all-electric vehicle thereby get squeezed out."" --- that's a bit of a stretch, surely? The Volt's range-extender is a necessary compromise but would seem to be an excellent one (for the time being): the ""generator and associated controls, and a gas tank and fuel lines and exhaust system"" are not as large as Professor Smitka makes them out to be.",electric car,AGAINST,1
"How about this? My sister sent me a check for my birthday. I took it to her bank, and with my own i.d. tried to cash it. The teller said no problem ( I didn't have an account at her bank) but that there would be a $6 fee . So the $100 check cost me $6. Is this being ripped off? You bet it is.",fee,AGAINST,1
"We love taking our kids on vacation to foreign countries. TV and internet are just not adequate substitutes for actually being there to experience another people and culture. They learn to put up with the uncertainties and the unexpected (good or bad) that come with being in an unfamiliar environment. They learn to stay calm, to ask for help, to communicate without speaking the local language, to go with the flow and see what happens. It's great if you can afford it. One thing to keep in mind when planning a trip with kids -- Don't be too ambitious. Don't try to cover 4 cities in a week. The adults will remember the sights, but the kids will remember the frenetic packing and unpacking. So, pick a city and make it your base. Explore that city and stay a while. If you have time, make day trips.",family trip,FAVOR,1
"On the island of Curacao legal prostitution has been there since I was a tiny toddler there (60 years now). That place, Campo Alegre (or Happy Place), was always bussy and always gleaming reports from indeed happy locals and tourists (Americands included - they were more than just happy; they went nuts). No diseases and within walking distance from the airport. Same health security in places like Amsterdam, Hamburg, etc. Grow up America.",prostitution,FAVOR,1
"When I was in high school I had to study Latin for two years and I had to study a modern language. I chose German. Later in college I continued my studies in German and took up Russian. As an older adult I took courses in Modern Irish and Old Irish. Now, as a septuagenarian, I am studying Brazilian Portuguese. Why? because learning another language gives you the ability to understand how other people on the planet think. Yes, Cassandra, you need to learn how to think but you also need to understand how other peoples think in order to be a citizen of this world.",foreign language class,FAVOR,1
"The title of the article is ""Is Immigration Really a Problem?"". As is often done, this ignores the fundamental distinction of legality. There are problems that are largely unique to illegal / unregulated immigration including: 1. Job shortage / depressed wages. (Our labor force participation rate is 62.6 compared to 65.7 in Jan 1009) 2. Burden on social welfare system due to illigal immigrants themselves. 3. Burden on social welfare system due to citizens who can not find jobs at acceptable wage levels. 4. Decreased tax collection. 3. No TB screening. 4. No background screening. 5. Discourages wait in line legal immigration. 6. Self selected only. Needs of country not considered. The recent case a a women being shot dead would have been preventable had our immigration laws been followed. Le'ts return to the rule of law with immigration. We can change the laws if we need to but lets start with the President following his oath to the constitution and more specifically that clause requiring him to take care that the laws be faithfully executed. John",immigration,AGAINST,1
"The banks have been making enormous profits and paying out (again) obscene bonuses, seemingly forgetting that their purpose (as per Founding Fathers) is to serve the public not themselves. I could accept being nickel and dimed if the executive salaries were brought down to acceptable levels (i.e., maximum $500 000 for the CEO).",fee,AGAINST,1
I have said before in these pages that I will never again vote for the lesser of two evils. Now I see that I must add that I will never vote for an over population denier or a global warming denier. Please New York Times and other media outlets make the candidates take a stand on these issues. We must have true leaders more than ever now.,legitimate threat,AGAINST,1
"Finding all the earth's hydrocarbons and burning them as fast as possible is not long range planning. Free energy collection technologies (solar, wind, tidal, hydro) are practical alternatives to the depletion of hydrocarbon resources. Leave them in place. Future generations will appreciate that they have something left to use for organic chemistry that we can't imagine yet.",renewable energy source,FAVOR,1
